############,,,,,,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,,,,,,
# date: 2018-02-07,,,,,,,,,,,,
# comments: please refer to the Log folder for stratigraphic logs,,,,,,,,,,,,
############,,,,,,,,,,,,
outcrop,unit,formation,member,date,bed,azimut,dip,type,lat,lon,sector,remarks
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,52,97,51,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,63,83,54,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,65,111,87,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,68,97,14,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,73,105,55,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,64-66,336,51,fault,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,27/06/12,64-66,262,19,strie,,,Voirons,
Grands Bois,Section 1,Voirons Sandstone,Bons Mb.,,lina,109,61,bed,,,Voirons,GB1 Lina
Grands Bois,Section 1,Voirons Sandstone,Bons Mb.,,lina,101,62,bed,,,Voirons,GB1 Lina
Grands Bois,Section 1,Voirons Sandstone,Bons Mb.,,lina,86,58,bed,,,Voirons,GB1 Lina
Grands Bois,Section 1,Voirons Sandstone,Bons Mb.,,lina,97,71,bed,,,Voirons,GB1 Lina
Grands Bois,Section 2,Voirons Sandstone,,,lina,101,30,bed,,,Voirons,dans le virage GB22
Grands Bois,Section 2,Voirons Sandstone,,,lina,100,30,bed,,,Voirons,fin du virage GB22
Grands Bois,Section 2,Voirons Sandstone,,,lina,99,31,bed,,,Voirons,fin du virage GB22
Grands Bois,,Voirons Sandstone,Bons Mb.,,lina,118,47,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,,lina,96,71,bed,,,Voirons,
Grands Bois,,Voirons Sandstone,Bons Mb.,,lina,102,55,bed,,,Voirons,
Granges Gaillard,,Voirons Sandstone,,,lina,84,76,bed,,,Voirons,
Granges Gaillard,,Voirons Sandstone,,,lina,99,68,bed,,,Voirons,
Granges Gaillard,,Voirons Sandstone,,2012-09-03,lina,128,64,bed,,,Voirons,
Granges Gaillard,,Voirons Sandstone,,2012-09-03,lina,92,70,bed,,,Voirons,
Granges Gaillard,,Voirons Sandstone,,2012-09-03,lina,61,50,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,2,122,18,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,8,144,18,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,9,136,20,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,20,136,22,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,lina,139,26,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,lina,144,23,bed,,,Voirons,
Granges Sauthier,,Boëge Marl,,,lina,145,22,bed,,,Voirons,
